user_id,event_type,timestamp,company_size,user_role,industry
user_0016,signup,2024-11-27T20:31:14,5-20,Manager,HealthTech
user_0017,signup,2024-12-06T01:10:30,5-20,Founder,SaaS
user_0018,signup,2024-12-14T14:57:53,21-99,Founder,FinTech
user_0018,first_task_created,2024-12-14T15:09:53,21-99,Founder,FinTech
user_0018,first_task_completed,2024-12-14T15:39:53,21-99,Founder,FinTech
user_0018,invite_sent,2024-12-16T14:39:53,21-99,Founder,FinTech
user_0019,signup,2024-12-13T23:30:02,21-99,Designer,EdTech
user_0019,first_task_created,2024-12-13T23:41:02,21-99,Designer,EdTech
user_0020,signup,2024-10-20T07:29:47,5-20,Founder,EdTech
user_0020,first_task_created,2024-10-20T08:22:47,5-20,Founder,EdTech
user_0020,first_task_completed,2024-10-20T10:11:47,5-20,Founder,EdTech
user_0021,signup,2024-11-17T10:32:01,100+,Founder,FinTech
user_0021,first_task_created,2024-11-17T11:00:01,100+,Founder,FinTech
user_0022,signup,2024-10-06T14:58:31,21-99,Designer,E-commerce
user_0022,first_task_created,2024-10-06T15:39:31,21-99,Designer,E-commerce
user_0023,signup,2024-12-13T20:19:53,5-20,Manager,SaaS
user_0023,first_task_created,2024-12-13T20:32:53,5-20,Manager,SaaS
user_0023,first_task_completed,2024-12-13T21:42:53,5-20,Manager,SaaS
user_0024,signup,2024-11-11T01:58:58,5-20,Founder,EdTech
user_0025,signup,2024-10-31T06:21:05,100+,Engineer,Marketing
user_0025,first_task_created,2024-10-31T07:08:05,100+,Engineer,Marketing
user_0026,signup,2024-10-12T17:57:36,5-20,Founder,HealthTech
user_0026,first_task_created,2024-10-12T18:06:36,5-20,Founder,HealthTech
user_0026,first_task_completed,2024-10-12T19:31:36,5-20,Founder,HealthTech
user_0027,signup,2024-12-08T17:23:20,5-20,PM,SaaS
user_0027,first_task_created,2024-12-08T17:42:20,5-20,PM,SaaS
user_0027,first_task_completed,2024-12-08T17:56:20,5-20,PM,SaaS
user_0028,signup,2024-12-04T22:49:52,5-20,Engineer,FinTech
user_0028,first_task_created,2024-12-04T23:28:52,5-20,Engineer,FinTech
user_0028,first_task_completed,2024-12-05T00:51:52,5-20,Engineer,FinTech
user_0029,signup,2024-10-19T11:41:14,5-20,Manager,HealthTech
user_0029,first_task_created,2024-10-19T12:28:14,5-20,Manager,HealthTech
user_0030,signup,2024-10-06T06:13:40,5-20,Manager,Marketing
user_0030,first_task_created,2024-10-06T06:59:40,5-20,Manager,Marketing
user_0030,first_task_completed,2024-10-06T08:00:40,5-20,Manager,Marketing
user_0031,signup,2024-10-19T14:26:14,21-99,PM,E-commerce
user_0031,first_task_created,2024-10-19T14:59:14,21-99,PM,E-commerce
user_0031,first_task_completed,2024-10-19T15:32:14,21-99,PM,E-commerce
user_0031,invite_sent,2024-10-20T07:32:14,21-99,PM,E-commerce
user_0032,signup,2024-12-18T10:49:41,21-99,PM,HealthTech
user_0033,signup,2024-11-22T11:39:40,5-20,PM,Marketing
user_0034,signup,2024-11-09T11:00:48,100+,Engineer,E-commerce
user_0034,first_task_created,2024-11-09T11:18:48,100+,Engineer,E-commerce
user_0035,signup,2024-10-01T05:01:20,100+,Engineer,HealthTech
user_0036,signup,2024-11-11T01:40:43,5-20,Manager,FinTech
user_0036,first_task_created,2024-11-11T02:31:43,5-20,Manager,FinTech
user_0037,signup,2024-10-19T10:29:38,5-20,Manager,E-commerce
user_0037,first_task_created,2024-10-19T10:37:38,5-20,Manager,E-commerce
user_0038,signup,2024-10-05T20:50:24,5-20,Designer,SaaS
user_0038,first_task_created,2024-10-05T21:27:24,5-20,Designer,SaaS
user_0039,signup,2024-10-08T18:40:23,5-20,PM,EdTech
user_0040,signup,2024-12-23T16:11:03,5-20,PM,Marketing
user_0040,first_task_created,2024-12-23T16:23:03,5-20,PM,Marketing
user_0041,signup,2024-10-04T20:36:17,5-20,Founder,EdTech
user_0041,first_task_created,2024-10-04T21:07:17,5-20,Founder,EdTech
user_0042,signup,2024-10-20T19:57:30,5-20,Designer,FinTech
user_0042,first_task_created,2024-10-20T20:22:30,5-20,Designer,FinTech
user_0042,first_task_completed,2024-10-20T21:22:30,5-20,Designer,FinTech
user_0042,invite_sent,2024-10-22T15:22:30,5-20,Designer,FinTech
user_0043,signup,2024-10-01T21:42:23,5-20,Designer,SaaS
user_0043,first_task_created,2024-10-01T22:23:23,5-20,Designer,SaaS
user_0044,signup,2024-10-26T17:57:42,5-20,Engineer,EdTech
user_0044,first_task_created,2024-10-26T18:24:42,5-20,Engineer,EdTech
user_0045,signup,2024-10-16T07:34:36,21-99,Designer,FinTech
user_0045,first_task_created,2024-10-16T08:13:36,21-99,Designer,FinTech
user_0046,signup,2024-12-04T20:14:02,21-99,Founder,SaaS
user_0047,signup,2024-10-26T16:15:00,5-20,PM,E-commerce
user_0047,first_task_created,2024-10-26T16:26:00,5-20,PM,E-commerce
user_0048,signup,2024-10-21T10:48:09,5-20,Designer,EdTech
user_0048,first_task_created,2024-10-21T11:06:09,5-20,Designer,EdTech
user_0049,signup,2024-10-25T09:09:17,21-99,Founder,HealthTech
user_0050,signup,2024-11-11T03:00:11,21-99,PM,Marketing
user_0051,signup,2024-12-01T20:34:54,5-20,Designer,E-commerce
user_0052,signup,2024-12-08T12:19:27,5-20,Manager,EdTech
user_0052,first_task_created,2024-12-08T12:24:27,5-20,Manager,EdTech
user_0052,first_task_completed,2024-12-08T14:02:27,5-20,Manager,EdTech
user_0053,signup,2024-11-23T15:28:36,5-20,Designer,EdTech
user_0053,first_task_created,2024-11-23T15:41:36,5-20,Designer,EdTech
user_0053,first_task_completed,2024-11-23T16:37:36,5-20,Designer,EdTech
user_0054,signup,2024-10-21T09:30:49,21-99,PM,FinTech
user_0054,first_task_created,2024-10-21T10:17:49,21-99,PM,FinTech
user_0054,first_task_completed,2024-10-21T12:06:49,21-99,PM,FinTech
user_0055,signup,2024-10-16T00:08:07,21-99,Founder,Marketing
user_0056,signup,2024-12-25T13:50:55,5-20,Engineer,E-commerce
user_0056,first_task_created,2024-12-25T14:06:55,5-20,Engineer,E-commerce
user_0057,signup,2024-12-23T21:24:54,5-20,Manager,Marketing
user_0058,signup,2024-10-11T11:52:51,5-20,Engineer,Marketing
user_0058,first_task_created,2024-10-11T11:59:51,5-20,Engineer,Marketing
user_0059,signup,2024-10-30T15:08:46,5-20,Manager,FinTech
user_0060,signup,2024-12-04T01:59:19,21-99,Engineer,SaaS
user_0060,first_task_created,2024-12-04T02:25:19,21-99,Engineer,SaaS
user_0060,first_task_completed,2024-12-04T02:43:19,21-99,Engineer,SaaS
user_0061,signup,2024-12-05T23:23:31,5-20,Founder,HealthTech
user_0062,signup,2024-12-25T03:38:51,5-20,PM,SaaS
user_0063,signup,2024-10-11T12:35:46,5-20,Designer,SaaS
user_0063,first_task_created,2024-10-11T13:02:46,5-20,Designer,SaaS
user_0064,signup,2024-10-12T05:28:27,5-20,Founder,EdTech
user_0064,first_task_created,2024-10-12T06:09:27,5-20,Founder,EdTech
user_0064,first_task_completed,2024-10-12T06:24:27,5-20,Founder,EdTech
user_0065,signup,2024-12-09T20:23:36,5-20,Founder,Marketing
user_0066,signup,2024-11-11T20:59:44,21-99,Engineer,FinTech
user_0066,first_task_created,2024-11-11T21:46:44,21-99,Engineer,FinTech
user_0067,signup,2024-12-27T09:15:40,21-99,PM,Marketing
user_0067,first_task_created,2024-12-27T09:39:40,21-99,PM,Marketing
user_0068,signup,2024-10-13T08:36:07,5-20,Designer,EdTech
user_0068,first_task_created,2024-10-13T09:23:07,5-20,Designer,EdTech
user_0069,signup,2024-11-25T06:06:40,21-99,Engineer,EdTech
user_0069,first_task_created,2024-11-25T06:46:40,21-99,Engineer,EdTech
user_0070,signup,2024-12-16T06:57:02,5-20,Engineer,HealthTech
user_0070,first_task_created,2024-12-16T07:43:02,5-20,Engineer,HealthTech
user_0070,first_task_completed,2024-12-16T08:49:02,5-20,Engineer,HealthTech
user_0070,invite_sent,2024-12-16T22:49:02,5-20,Engineer,HealthTech
user_0071,signup,2024-10-09T05:35:16,5-20,Engineer,Marketing
user_0071,first_task_created,2024-10-09T06:22:16,5-20,Engineer,Marketing
user_0072,signup,2024-10-31T03:19:47,5-20,Engineer,Marketing
user_0072,first_task_created,2024-10-31T03:36:47,5-20,Engineer,Marketing
user_0072,first_task_completed,2024-10-31T03:51:47,5-20,Engineer,Marketing
user_0072,invite_sent,2024-11-01T10:51:47,5-20,Engineer,Marketing
user_0073,signup,2024-11-10T05:43:03,21-99,PM,HealthTech
user_0074,signup,2024-11-08T19:15:31,5-20,Manager,HealthTech
user_0074,first_task_created,2024-11-08T20:01:31,5-20,Manager,HealthTech
user_0075,signup,2024-10-22T05:56:12,21-99,PM,HealthTech
user_0075,first_task_created,2024-10-22T06:45:12,21-99,PM,HealthTech
user_0076,signup,2024-11-14T07:37:59,5-20,Engineer,SaaS
user_0076,first_task_created,2024-11-14T08:11:59,5-20,Engineer,SaaS
user_0077,signup,2024-12-13T07:51:36,100+,Founder,FinTech
user_0078,signup,2024-12-20T15:21:59,21-99,Founder,HealthTech
user_0079,signup,2024-12-23T15:25:43,5-20,Engineer,Marketing
user_0079,first_task_created,2024-12-23T15:46:43,5-20,Engineer,Marketing
user_0080,signup,2024-11-17T01:11:34,21-99,Designer,EdTech
user_0080,first_task_created,2024-11-17T01:33:34,21-99,Designer,EdTech
user_0081,signup,2024-11-02T14:34:53,21-99,Engineer,FinTech
user_0081,first_task_created,2024-11-02T15:13:53,21-99,Engineer,FinTech
user_0081,first_task_completed,2024-11-02T15:42:53,21-99,Engineer,FinTech
user_0081,invite_sent,2024-11-04T12:42:53,21-99,Engineer,FinTech
user_0082,signup,2024-11-10T06:42:44,5-20,Engineer,SaaS
user_0082,first_task_created,2024-11-10T07:21:44,5-20,Engineer,SaaS
user_0083,signup,2024-12-27T20:25:35,5-20,Manager,HealthTech
user_0084,signup,2024-11-06T22:21:07,100+,PM,EdTech
user_0084,first_task_created,2024-11-06T22:48:07,100+,PM,EdTech
user_0084,first_task_completed,2024-11-06T23:47:07,100+,PM,EdTech
user_0085,signup,2024-12-12T13:50:15,100+,Manager,EdTech
user_0086,signup,2024-10-22T07:17:22,21-99,Engineer,HealthTech
user_0086,first_task_created,2024-10-22T07:53:22,21-99,Engineer,HealthTech
user_0086,first_task_completed,2024-10-22T08:46:22,21-99,Engineer,HealthTech
user_0087,signup,2024-12-29T06:41:14,21-99,Engineer,HealthTech
user_0087,first_task_created,2024-12-29T07:25:14,21-99,Engineer,HealthTech
user_0088,signup,2024-12-04T08:54:05,100+,Founder,EdTech
user_0088,first_task_created,2024-12-04T09:40:05,100+,Founder,EdTech
user_0089,signup,2024-10-26T06:12:29,21-99,Engineer,SaaS
user_0089,first_task_created,2024-10-26T06:30:29,21-99,Engineer,SaaS
user_0090,signup,2024-12-13T00:18:35,5-20,Manager,FinTech
user_0091,signup,2024-10-02T21:09:58,5-20,PM,HealthTech
user_0092,signup,2024-12-03T02:56:43,5-20,Designer,E-commerce
user_0092,first_task_created,2024-12-03T03:42:43,5-20,Designer,E-commerce
user_0092,first_task_completed,2024-12-03T03:55:43,5-20,Designer,E-commerce
user_0093,signup,2024-10-15T19:04:35,5-20,PM,EdTech
user_0093,first_task_created,2024-10-15T19:39:35,5-20,PM,EdTech
user_0094,signup,2024-12-07T21:52:17,5-20,Engineer,HealthTech
user_0094,first_task_created,2024-12-07T22:20:17,5-20,Engineer,HealthTech
user_0094,first_task_completed,2024-12-07T23:47:17,5-20,Engineer,HealthTech
user_0095,signup,2024-10-11T11:53:18,21-99,Engineer,FinTech
user_0095,first_task_created,2024-10-11T12:17:18,21-99,Engineer,FinTech
user_0096,signup,2024-12-09T10:06:18,100+,Manager,HealthTech
user_0096,first_task_created,2024-12-09T10:48:18,100+,Manager,HealthTech
user_0097,signup,2024-12-15T00:00:39,21-99,PM,Marketing
user_0097,first_task_created,2024-12-15T00:48:39,21-99,PM,Marketing
user_0098,signup,2024-11-03T17:02:36,5-20,Founder,SaaS
user_0098,first_task_created,2024-11-03T17:49:36,5-20,Founder,SaaS
user_0098,first_task_completed,2024-11-03T19:03:36,5-20,Founder,SaaS
user_0099,signup,2024-10-11T05:55:24,5-20,Manager,HealthTech
user_0099,first_task_created,2024-10-11T06:23:24,5-20,Manager,HealthTech
user_0100,signup,2024-10-18T02:25:43,21-99,Engineer,HealthTech
user_0101,signup,2024-12-18T11:14:26,100+,Designer,EdTech
user_0102,signup,2024-12-20T04:06:03,21-99,Manager,HealthTech
user_0103,signup,2024-10-28T01:56:59,5-20,Engineer,SaaS
user_0104,signup,2024-11-29T06:10:33,5-20,Manager,EdTech
user_0104,first_task_created,2024-11-29T06:36:33,5-20,Manager,EdTech
user_0104,first_task_completed,2024-11-29T08:34:33,5-20,Manager,EdTech
user_0104,invite_sent,2024-11-30T16:34:33,5-20,Manager,EdTech
user_0105,signup,2024-10-28T03:39:05,5-20,Designer,FinTech
user_0106,signup,2024-10-01T23:39:13,21-99,Designer,EdTech
user_0106,first_task_created,2024-10-01T23:56:13,21-99,Designer,EdTech
user_0106,first_task_completed,2024-10-02T01:38:13,21-99,Designer,EdTech
user_0106,invite_sent,2024-10-03T13:38:13,21-99,Designer,EdTech
user_0107,signup,2024-12-09T02:42:46,21-99,Manager,Marketing
user_0107,first_task_created,2024-12-09T03:37:46,21-99,Manager,Marketing
user_0107,first_task_completed,2024-12-09T04:24:46,21-99,Manager,Marketing
user_0107,invite_sent,2024-12-11T01:24:46,21-99,Manager,Marketing
user_0108,signup,2024-11-15T22:46:36,5-20,Founder,FinTech
user_0108,first_task_created,2024-11-15T23:13:36,5-20,Founder,FinTech
user_0109,signup,2024-12-08T05:46:14,21-99,Designer,FinTech
user_0109,first_task_created,2024-12-08T06:10:14,21-99,Designer,FinTech
user_0109,first_task_completed,2024-12-08T06:35:14,21-99,Designer,FinTech
user_0110,signup,2024-10-18T23:25:49,5-20,Founder,Marketing
user_0110,first_task_created,2024-10-19T00:17:49,5-20,Founder,Marketing
user_0111,signup,2024-10-28T11:26:05,21-99,Founder,EdTech
user_0112,signup,2024-11-05T00:54:49,21-99,Designer,E-commerce
user_0112,first_task_created,2024-11-05T00:59:49,21-99,Designer,E-commerce
user_0113,signup,2024-11-23T17:25:11,5-20,PM,SaaS
user_0113,first_task_created,2024-11-23T17:38:11,5-20,PM,SaaS
user_0114,signup,2024-11-25T17:39:59,21-99,PM,SaaS
user_0114,first_task_created,2024-11-25T18:14:59,21-99,PM,SaaS
user_0115,signup,2024-12-23T15:57:36,5-20,PM,FinTech
user_0115,first_task_created,2024-12-23T16:54:36,5-20,PM,FinTech
user_0115,first_task_completed,2024-12-23T18:06:36,5-20,PM,FinTech
user_0115,invite_sent,2024-12-25T11:06:36,5-20,PM,FinTech
user_0116,signup,2024-12-18T18:05:52,21-99,Engineer,E-commerce
user_0116,first_task_created,2024-12-18T18:29:52,21-99,Engineer,E-commerce
user_0116,first_task_completed,2024-12-18T19:10:52,21-99,Engineer,E-commerce
user_0116,invite_sent,2024-12-19T22:10:52,21-99,Engineer,E-commerce
user_0117,signup,2024-12-15T07:29:49,21-99,Founder,E-commerce
user_0117,first_task_created,2024-12-15T08:02:49,21-99,Founder,E-commerce
user_0118,signup,2024-10-30T15:35:15,5-20,Founder,HealthTech
user_0118,first_task_created,2024-10-30T15:43:15,5-20,Founder,HealthTech
user_0119,signup,2024-10-21T11:43:27,21-99,Engineer,Marketing
user_0119,first_task_created,2024-10-21T11:53:27,21-99,Engineer,Marketing
user_0119,first_task_completed,2024-10-21T12:25:27,21-99,Engineer,Marketing
user_0120,signup,2024-12-06T22:21:04,5-20,Manager,HealthTech
user_0120,first_task_created,2024-12-06T22:44:04,5-20,Manager,HealthTech
user_0120,first_task_completed,2024-12-06T23:30:04,5-20,Manager,HealthTech
user_0121,signup,2024-12-06T17:43:22,21-99,Manager,SaaS
user_0121,first_task_created,2024-12-06T18:04:22,21-99,Manager,SaaS
user_0122,signup,2024-10-12T03:26:53,21-99,Engineer,HealthTech
user_0122,first_task_created,2024-10-12T04:12:53,21-99,Engineer,HealthTech
user_0122,first_task_completed,2024-10-12T04:56:53,21-99,Engineer,HealthTech
user_0123,signup,2024-11-27T18:33:11,5-20,Engineer,FinTech
user_0124,signup,2024-10-13T01:45:54,5-20,Designer,HealthTech
user_0124,first_task_created,2024-10-13T02:09:54,5-20,Designer,HealthTech
user_0125,signup,2024-11-17T22:37:34,100+,Founder,EdTech
user_0125,first_task_created,2024-11-17T23:20:34,100+,Founder,EdTech
user_0125,first_task_completed,2024-11-18T00:25:34,100+,Founder,EdTech
user_0126,signup,2024-10-23T05:25:57,21-99,PM,SaaS
user_0127,signup,2024-10-03T00:20:25,21-99,Founder,EdTech
user_0128,signup,2024-10-04T21:44:47,21-99,Designer,EdTech
user_0129,signup,2024-11-12T22:28:09,5-20,Founder,Marketing
user_0130,signup,2024-12-01T15:09:20,5-20,Founder,HealthTech
user_0131,signup,2024-11-09T15:31:12,100+,Manager,FinTech
user_0131,first_task_created,2024-11-09T16:18:12,100+,Manager,FinTech
user_0131,first_task_completed,2024-11-09T16:48:12,100+,Manager,FinTech
user_0131,invite_sent,2024-11-11T13:48:12,100+,Manager,FinTech
user_0132,signup,2024-10-04T13:30:37,5-20,Manager,EdTech
user_0132,first_task_created,2024-10-04T13:55:37,5-20,Manager,EdTech
user_0132,first_task_completed,2024-10-04T14:19:37,5-20,Manager,EdTech
user_0133,signup,2024-12-03T20:27:35,5-20,Founder,SaaS
user_0134,signup,2024-11-20T08:03:04,5-20,PM,E-commerce
user_0134,first_task_created,2024-11-20T08:56:04,5-20,PM,E-commerce
user_0135,signup,2024-10-26T22:17:10,5-20,PM,E-commerce
user_0135,first_task_created,2024-10-26T22:40:10,5-20,PM,E-commerce
user_0136,signup,2024-12-01T04:03:29,21-99,PM,SaaS
user_0136,first_task_created,2024-12-01T04:23:29,21-99,PM,SaaS
user_0137,signup,2024-11-09T14:41:13,5-20,PM,EdTech
user_0137,first_task_created,2024-11-09T15:39:13,5-20,PM,EdTech
user_0138,signup,2024-12-20T19:02:02,5-20,PM,Marketing
user_0138,first_task_created,2024-12-20T19:52:02,5-20,PM,Marketing
user_0138,first_task_completed,2024-12-20T21:32:02,5-20,PM,Marketing
user_0138,invite_sent,2024-12-22T04:32:02,5-20,PM,Marketing
user_0139,signup,2024-11-23T12:32:26,100+,Engineer,HealthTech
user_0139,first_task_created,2024-11-23T12:49:26,100+,Engineer,HealthTech
user_0140,signup,2024-10-27T19:42:11,5-20,Engineer,SaaS
user_0141,signup,2024-10-26T22:33:26,21-99,Designer,EdTech
user_0142,signup,2024-11-26T07:19:09,5-20,Designer,EdTech
user_0143,signup,2024-11-22T06:59:01,5-20,Engineer,HealthTech
user_0143,first_task_created,2024-11-22T07:25:01,5-20,Engineer,HealthTech
user_0144,signup,2024-12-24T10:19:07,5-20,Manager,FinTech
user_0144,first_task_created,2024-12-24T11:08:07,5-20,Manager,FinTech
user_0144,first_task_completed,2024-12-24T12:07:07,5-20,Manager,FinTech
user_0144,invite_sent,2024-12-25T15:07:07,5-20,Manager,FinTech
user_0145,signup,2024-12-28T16:26:47,5-20,Manager,Marketing
user_0146,signup,2024-10-04T14:15:43,5-20,Engineer,HealthTech
user_0146,first_task_created,2024-10-04T14:57:43,5-20,Engineer,HealthTech
user_0146,first_task_completed,2024-10-04T15:19:43,5-20,Engineer,HealthTech
user_0147,signup,2024-10-02T11:45:44,5-20,Founder,HealthTech
user_0148,signup,2024-11-15T13:59:32,5-20,Engineer,SaaS
user_0149,signup,2024-11-08T14:12:11,5-20,Founder,Marketing
user_0149,first_task_created,2024-11-08T15:11:11,5-20,Founder,Marketing
user_0149,first_task_completed,2024-11-08T16:47:11,5-20,Founder,Marketing
user_0150,signup,2024-12-09T18:43:58,5-20,Designer,Marketing
user_0151,signup,2024-11-29T22:47:05,5-20,Founder,SaaS
user_0151,first_task_created,2024-11-29T23:32:05,5-20,Founder,SaaS
user_0152,signup,2024-10-09T18:35:56,5-20,Engineer,Marketing
user_0152,first_task_created,2024-10-09T18:46:56,5-20,Engineer,Marketing
user_0153,signup,2024-10-17T03:39:28,21-99,PM,HealthTech
user_0153,first_task_created,2024-10-17T03:45:28,21-99,PM,HealthTech
user_0153,first_task_completed,2024-10-17T05:36:28,21-99,PM,HealthTech
user_0153,invite_sent,2024-10-18T04:36:28,21-99,PM,HealthTech
user_0154,signup,2024-11-21T13:42:26,5-20,Engineer,E-commerce
user_0154,first_task_created,2024-11-21T14:30:26,5-20,Engineer,E-commerce
user_0155,signup,2024-12-24T13:12:12,5-20,PM,EdTech
user_0155,first_task_created,2024-12-24T14:00:12,5-20,PM,EdTech
user_0155,first_task_completed,2024-12-24T15:24:12,5-20,PM,EdTech
user_0155,invite_sent,2024-12-25T21:24:12,5-20,PM,EdTech
user_0156,signup,2024-12-04T17:51:05,21-99,Manager,FinTech
user_0156,first_task_created,2024-12-04T18:47:05,21-99,Manager,FinTech
user_0157,signup,2024-10-08T04:06:38,5-20,Founder,E-commerce
user_0157,first_task_created,2024-10-08T04:33:38,5-20,Founder,E-commerce
user_0158,signup,2024-10-25T06:46:15,5-20,Manager,Marketing
user_0158,first_task_created,2024-10-25T07:10:15,5-20,Manager,Marketing
user_0158,first_task_completed,2024-10-25T08:09:15,5-20,Manager,Marketing
user_0159,signup,2024-11-04T20:26:07,5-20,Manager,EdTech
user_0159,first_task_created,2024-11-04T21:15:07,5-20,Manager,EdTech
user_0159,first_task_completed,2024-11-04T23:11:07,5-20,Manager,EdTech
user_0160,signup,2024-12-15T13:35:51,5-20,Founder,Marketing
user_0161,signup,2024-11-18T05:27:30,5-20,Founder,Marketing
user_0162,signup,2024-12-17T20:38:12,100+,Engineer,EdTech
user_0162,first_task_created,2024-12-17T21:23:12,100+,Engineer,EdTech
user_0162,first_task_completed,2024-12-17T22:05:12,100+,Engineer,EdTech
user_0163,signup,2024-10-10T10:24:30,21-99,Engineer,Marketing
user_0164,signup,2024-10-04T05:44:41,21-99,Designer,HealthTech
user_0164,first_task_created,2024-10-04T06:35:41,21-99,Designer,HealthTech
user_0164,first_task_completed,2024-10-04T07:22:41,21-99,Designer,HealthTech
user_0164,invite_sent,2024-10-05T10:22:41,21-99,Designer,HealthTech
user_0165,signup,2024-12-25T02:18:04,5-20,Engineer,EdTech
user_0166,signup,2024-10-25T22:47:01,5-20,Designer,E-commerce
user_0167,signup,2024-12-24T12:10:18,100+,Designer,Marketing
user_0167,first_task_created,2024-12-24T12:22:18,100+,Designer,Marketing
user_0168,signup,2024-12-10T07:32:50,5-20,Engineer,Marketing
user_0168,first_task_created,2024-12-10T08:02:50,5-20,Engineer,Marketing
user_0169,signup,2024-12-16T18:25:21,21-99,Designer,SaaS
user_0169,first_task_created,2024-12-16T18:46:21,21-99,Designer,SaaS
user_0170,signup,2024-11-06T23:51:13,5-20,Designer,EdTech
user_0171,signup,2024-10-23T16:50:40,100+,PM,Marketing
user_0171,first_task_created,2024-10-23T17:34:40,100+,PM,Marketing
user_0172,signup,2024-12-02T21:08:21,5-20,Founder,E-commerce
user_0172,first_task_created,2024-12-02T22:05:21,5-20,Founder,E-commerce
user_0173,signup,2024-10-14T13:42:14,21-99,Manager,SaaS
user_0173,first_task_created,2024-10-14T13:49:14,21-99,Manager,SaaS
user_0173,first_task_completed,2024-10-14T15:02:14,21-99,Manager,SaaS
user_0173,invite_sent,2024-10-15T07:02:14,21-99,Manager,SaaS
user_0174,signup,2024-11-14T01:03:59,21-99,Engineer,HealthTech
user_0174,first_task_created,2024-11-14T01:55:59,21-99,Engineer,HealthTech
user_0175,signup,2024-12-10T13:05:55,5-20,Founder,Marketing
user_0175,first_task_created,2024-12-10T13:36:55,5-20,Founder,Marketing
user_0176,signup,2024-10-28T03:50:30,21-99,Founder,HealthTech
user_0176,first_task_created,2024-10-28T04:18:30,21-99,Founder,HealthTech
user_0176,first_task_completed,2024-10-28T05:24:30,21-99,Founder,HealthTech
user_0177,signup,2024-11-05T15:57:08,21-99,PM,Marketing
user_0177,first_task_created,2024-11-05T16:43:08,21-99,PM,Marketing
user_0177,first_task_completed,2024-11-05T17:43:08,21-99,PM,Marketing
user_0177,invite_sent,2024-11-06T01:43:08,21-99,PM,Marketing
user_0178,signup,2024-12-04T08:21:47,100+,Manager,SaaS
user_0178,first_task_created,2024-12-04T09:06:47,100+,Manager,SaaS
user_0179,signup,2024-10-13T05:25:26,5-20,Designer,E-commerce
user_0180,signup,2024-11-26T22:22:17,5-20,Founder,E-commerce
user_0180,first_task_created,2024-11-26T23:22:17,5-20,Founder,E-commerce
user_0180,first_task_completed,2024-11-27T01:11:17,5-20,Founder,E-commerce
user_0180,invite_sent,2024-11-28T16:11:17,5-20,Founder,E-commerce
user_0181,signup,2024-11-22T10:47:35,5-20,Engineer,E-commerce
