user_id,company_size,onboarding_rating,biggest_confusion,feature_request,would_recommend
survey_user_0122,5-20,4,Examples would have been helpful,Sample projects or templates,Yes
survey_user_0123,21-99,2,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0124,5-20,2,Felt overwhelmed by the blank canvas,Simpler onboarding,Yes
survey_user_0125,21-99,2,Navigation was confusing,Better help docs,Maybe
survey_user_0126,5-20,4,Examples would have been helpful,Sample projects or templates,No
survey_user_0127,5-20,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0128,21-99,4,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0129,5-20,3,Overwhelmed by all the customization options,Simpler onboarding,Maybe
survey_user_0130,5-20,2,Overwhelmed by all the customization options,Simpler onboarding,Yes
survey_user_0131,5-20,4,No idea what to put in the task,Templates or examples,Maybe
survey_user_0132,21-99,2,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0133,100+,3,Overwhelmed by all the customization options,Simpler onboarding,Yes
survey_user_0134,5-20,4,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0135,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0136,5-20,4,Expected it to work differently,Better help docs,Maybe
survey_user_0137,5-20,4,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0138,100+,4,Navigation was confusing,Better help docs,Maybe
survey_user_0139,5-20,4,No idea what to put in the task,Templates or examples,No
survey_user_0140,21-99,4,No idea what to put in the task,Templates or examples,Maybe
survey_user_0141,5-20,3,Blank project was intimidating,Simpler onboarding,No
survey_user_0142,5-20,4,I didn't know what to create,Templates or examples,Yes
survey_user_0143,100+,3,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0144,5-20,3,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0145,5-20,3,Unclear what I should create first,Templates or examples,No
survey_user_0146,21-99,2,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0147,5-20,4,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0148,5-20,4,Show me a sample project,Sample projects or templates,Yes
survey_user_0149,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0150,5-20,3,Would help to see what a good task looks like,Sample projects or templates,Yes
survey_user_0151,100+,3,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0152,21-99,4,Wish there were templates or samples,Sample projects or templates,Yes
survey_user_0153,5-20,4,Felt overwhelmed by the blank canvas,Simpler onboarding,No
survey_user_0154,21-99,2,I didn't know what to create,Templates or examples,Yes
survey_user_0155,5-20,4,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0156,5-20,2,Would help to see what a good task looks like,Sample projects or templates,Yes
survey_user_0157,21-99,4,No idea what to put in the task,Templates or examples,Yes
survey_user_0158,5-20,4,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0159,5-20,2,Paralyzed by all the empty fields,Simpler onboarding,No
survey_user_0160,100+,2,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0161,21-99,2,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0162,100+,4,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0163,5-20,4,Felt overwhelmed by the blank canvas,Simpler onboarding,No
survey_user_0164,5-20,3,No idea what to put in the task,Templates or examples,No
survey_user_0165,21-99,3,Navigation was confusing,Better help docs,Yes
survey_user_0166,21-99,4,Needed examples to get started,Sample projects or templates,No
survey_user_0167,5-20,3,Overwhelmed by all the customization options,Simpler onboarding,Maybe
survey_user_0168,5-20,4,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0169,5-20,2,Felt overwhelmed by the blank canvas,Simpler onboarding,Maybe
survey_user_0170,21-99,2,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0171,5-20,4,Unclear what I should create first,Templates or examples,Maybe
survey_user_0172,5-20,4,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0173,5-20,3,Needed examples to get started,Sample projects or templates,Yes
survey_user_0174,100+,3,Would help to see what a good task looks like,Sample projects or templates,Yes
survey_user_0175,5-20,3,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0176,21-99,4,Felt overwhelmed by the blank canvas,Simpler onboarding,Maybe
survey_user_0177,21-99,3,Navigation was confusing,Better help docs,Maybe
survey_user_0178,5-20,4,"Too many options, didn't know where to start",Simpler onboarding,Yes
survey_user_0179,5-20,3,I didn't know what to create,Templates or examples,Yes
survey_user_0180,5-20,2,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0181,5-20,3,Show me a sample project,Sample projects or templates,No
survey_user_0182,5-20,4,I didn't know what to create,Templates or examples,Maybe
survey_user_0183,21-99,3,Unclear what I should create first,Templates or examples,No
survey_user_0184,21-99,4,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0185,21-99,3,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0186,5-20,3,Unclear what I should create first,Templates or examples,Yes
survey_user_0187,5-20,3,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0188,21-99,2,Overwhelmed by all the customization options,Simpler onboarding,Yes
survey_user_0189,5-20,3,Unclear what I should create first,Templates or examples,Yes
survey_user_0190,21-99,3,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0191,5-20,3,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0192,5-20,3,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0193,100+,3,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0194,21-99,4,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0195,5-20,2,Show me a sample project,Sample projects or templates,Yes
survey_user_0196,100+,4,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0197,21-99,4,Interface wasn't intuitive,Better help docs,Yes
survey_user_0198,5-20,4,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0199,21-99,3,Navigation was confusing,Better help docs,Yes
survey_user_0200,5-20,4,Examples would have been helpful,Sample projects or templates,No
survey_user_0201,21-99,4,Show me a sample project,Sample projects or templates,No
survey_user_0202,5-20,2,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0203,5-20,3,Examples would have been helpful,Sample projects or templates,Yes
survey_user_0204,5-20,4,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0205,5-20,4,No idea what to put in the task,Templates or examples,Maybe
survey_user_0206,5-20,3,I didn't know what to create,Templates or examples,Yes
survey_user_0207,100+,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0208,5-20,3,Overwhelmed by all the customization options,Simpler onboarding,Maybe
survey_user_0209,5-20,3,Examples would have been helpful,Sample projects or templates,No
survey_user_0210,5-20,2,Felt overwhelmed by the blank canvas,Simpler onboarding,Maybe
survey_user_0211,21-99,4,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0212,5-20,4,Would help to see what a good task looks like,Sample projects or templates,Yes
survey_user_0213,100+,4,Unclear what I should create first,Templates or examples,Maybe
survey_user_0214,5-20,2,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0215,5-20,4,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0216,5-20,4,Felt overwhelmed by the blank canvas,Simpler onboarding,No
survey_user_0217,21-99,3,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0218,5-20,4,Unclear what I should create first,Templates or examples,Maybe
survey_user_0219,5-20,2,Show me a sample project,Sample projects or templates,Maybe
survey_user_0220,5-20,4,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0221,100+,3,"Too many options, didn't know where to start",Simpler onboarding,No
survey_user_0222,5-20,4,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0223,5-20,4,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0224,5-20,4,Show me a sample project,Sample projects or templates,Maybe
survey_user_0225,5-20,2,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0226,21-99,2,Blank project was intimidating,Simpler onboarding,Yes
survey_user_0227,5-20,4,Overwhelmed by all the customization options,Simpler onboarding,Yes
survey_user_0228,5-20,3,Examples would have been helpful,Sample projects or templates,Maybe
survey_user_0229,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0230,5-20,3,Wish there were templates or samples,Sample projects or templates,Yes
survey_user_0231,5-20,3,I didn't know what to create,Templates or examples,Maybe
survey_user_0232,5-20,4,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0233,100+,3,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0234,5-20,3,I didn't know what to create,Templates or examples,No
survey_user_0235,21-99,4,No idea what to put in the task,Templates or examples,Maybe
survey_user_0236,21-99,2,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0237,21-99,4,Navigation was confusing,Better help docs,Maybe
survey_user_0238,5-20,3,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0239,5-20,4,No idea what to put in the task,Templates or examples,No
survey_user_0240,5-20,2,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0241,21-99,2,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0242,21-99,3,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0243,5-20,3,Unclear what I should create first,Templates or examples,Yes
survey_user_0244,5-20,3,Felt overwhelmed by the blank canvas,Simpler onboarding,Maybe
survey_user_0245,21-99,3,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0246,5-20,4,Felt overwhelmed by the blank canvas,Simpler onboarding,Yes
survey_user_0247,21-99,4,Felt overwhelmed by the blank canvas,Simpler onboarding,Yes
survey_user_0248,5-20,3,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0249,5-20,4,No idea what to put in the task,Templates or examples,Maybe
survey_user_0250,5-20,4,Would help to see what a good task looks like,Sample projects or templates,No
survey_user_0251,5-20,2,Examples would have been helpful,Sample projects or templates,No
survey_user_0252,100+,2,Unclear what I should create first,Templates or examples,Yes
survey_user_0253,5-20,4,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0254,5-20,2,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0255,5-20,2,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0256,21-99,3,Couldn't find the features I needed,Better help docs,No
survey_user_0257,21-99,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0258,5-20,2,Examples would have been helpful,Sample projects or templates,No
survey_user_0259,21-99,4,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0260,5-20,4,I didn't know what to create,Templates or examples,No
survey_user_0261,5-20,2,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0262,21-99,4,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0263,5-20,4,Show me a sample project,Sample projects or templates,Maybe
survey_user_0264,5-20,3,Wish there were templates or samples,Sample projects or templates,Yes
survey_user_0265,21-99,2,I didn't know what to create,Templates or examples,No
survey_user_0266,5-20,3,Unclear what I should create first,Templates or examples,Maybe
survey_user_0267,5-20,4,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0268,21-99,2,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0269,21-99,2,Needed examples to get started,Sample projects or templates,Yes
survey_user_0270,5-20,2,No idea what to put in the task,Templates or examples,No
survey_user_0271,100+,3,Couldn't find the features I needed,Better help docs,Yes
survey_user_0272,5-20,2,Examples would have been helpful,Sample projects or templates,No
survey_user_0273,5-20,2,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0274,100+,4,Would help to see what a good task looks like,Sample projects or templates,Yes
survey_user_0275,5-20,4,No idea what to put in the task,Templates or examples,Maybe
survey_user_0276,5-20,2,No idea what to put in the task,Templates or examples,Maybe
survey_user_0277,5-20,3,I didn't know what to create,Templates or examples,Yes
survey_user_0278,21-99,2,Navigation was confusing,Better help docs,No
survey_user_0279,100+,4,No idea what to put in the task,Templates or examples,No
survey_user_0280,5-20,2,Wish there were templates or samples,Sample projects or templates,No
survey_user_0281,21-99,3,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0282,5-20,2,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0283,5-20,4,Blank project was intimidating,Simpler onboarding,No
survey_user_0284,21-99,3,Unclear what I should create first,Templates or examples,No
survey_user_0285,5-20,3,Navigation was confusing,Better help docs,Yes
survey_user_0286,5-20,2,No idea what to put in the task,Templates or examples,Maybe
survey_user_0287,5-20,4,Overwhelmed by all the customization options,Simpler onboarding,No
survey_user_0288,5-20,2,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0289,5-20,2,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0290,5-20,2,Paralyzed by all the empty fields,Simpler onboarding,Maybe
survey_user_0291,5-20,3,Blank project was intimidating,Simpler onboarding,No
survey_user_0292,5-20,2,I didn't know what to create,Templates or examples,Maybe
survey_user_0293,21-99,2,Interface wasn't intuitive,Better help docs,Yes
survey_user_0294,21-99,3,Too many clicks to do simple things,Better help docs,No
survey_user_0295,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0296,21-99,4,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0297,100+,2,Expected it to work differently,Better help docs,Maybe
survey_user_0298,5-20,4,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0299,21-99,3,Felt overwhelmed by the blank canvas,Simpler onboarding,No
survey_user_0300,21-99,2,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0301,5-20,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0302,21-99,4,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0303,21-99,4,Needed examples to get started,Sample projects or templates,No
survey_user_0304,5-20,2,Examples would have been helpful,Sample projects or templates,No
survey_user_0305,5-20,3,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0306,21-99,4,Interface wasn't intuitive,Better help docs,Maybe
survey_user_0307,5-20,2,I didn't know what to create,Templates or examples,Maybe
survey_user_0308,21-99,2,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0309,5-20,4,I didn't know what to create,Templates or examples,Maybe
survey_user_0310,100+,3,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0311,21-99,4,Stared at empty project not knowing what to do,Templates or examples,No
survey_user_0312,5-20,2,"Too many options, didn't know where to start",Simpler onboarding,Maybe
survey_user_0313,100+,4,Needed examples to get started,Sample projects or templates,Maybe
survey_user_0314,5-20,3,Navigation was confusing,Better help docs,Yes
survey_user_0315,5-20,3,Needed examples to get started,Sample projects or templates,No
survey_user_0316,21-99,2,I didn't know what to create,Templates or examples,Maybe
survey_user_0317,5-20,4,Blank project was intimidating,Simpler onboarding,No
survey_user_0318,5-20,2,I didn't know what to create,Templates or examples,No
survey_user_0319,5-20,2,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0320,5-20,2,Felt overwhelmed by the blank canvas,Simpler onboarding,Yes
survey_user_0321,21-99,3,Needed examples to get started,Sample projects or templates,Yes
survey_user_0322,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Maybe
survey_user_0323,5-20,4,No idea what to put in the task,Templates or examples,Maybe
survey_user_0324,21-99,3,Overwhelmed by all the customization options,Simpler onboarding,No
survey_user_0325,5-20,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0326,21-99,3,Navigation was confusing,Better help docs,Maybe
survey_user_0327,5-20,4,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0328,5-20,4,Stared at empty project not knowing what to do,Templates or examples,Maybe
survey_user_0329,5-20,2,Blank project was intimidating,Simpler onboarding,Yes
survey_user_0330,5-20,2,"Too many options, didn't know where to start",Simpler onboarding,No
survey_user_0331,5-20,4,No idea what to put in the task,Templates or examples,No
survey_user_0332,21-99,3,Expected it to work differently,Better help docs,Maybe
survey_user_0333,100+,2,Couldn't find the features I needed,Better help docs,Maybe
survey_user_0334,5-20,4,Blank project was intimidating,Simpler onboarding,No
survey_user_0335,21-99,4,Show me a sample project,Sample projects or templates,Maybe
survey_user_0336,5-20,4,Unclear what I should create first,Templates or examples,Maybe
survey_user_0337,5-20,2,I didn't know what to create,Templates or examples,Maybe
survey_user_0338,5-20,4,Would help to see what a good task looks like,Sample projects or templates,Maybe
survey_user_0339,21-99,3,Wish there were templates or samples,Sample projects or templates,No
survey_user_0340,5-20,2,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0341,100+,4,Examples would have been helpful,Sample projects or templates,No
survey_user_0342,5-20,4,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0343,21-99,2,Too many clicks to do simple things,Better help docs,Maybe
survey_user_0344,5-20,3,Wish there were templates or samples,Sample projects or templates,Maybe
survey_user_0345,21-99,4,Wish there were templates or samples,Sample projects or templates,No
survey_user_0346,100+,4,Interface wasn't intuitive,Better help docs,No
survey_user_0347,5-20,2,No idea what to put in the task,Templates or examples,No
survey_user_0348,100+,2,I didn't know what to create,Templates or examples,Maybe
survey_user_0349,100+,4,I didn't know what to create,Templates or examples,Maybe
survey_user_0350,5-20,4,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0351,5-20,2,Felt overwhelmed by the blank canvas,Simpler onboarding,Yes
survey_user_0352,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0353,21-99,2,Examples would have been helpful,Sample projects or templates,Yes
survey_user_0354,21-99,2,"Too many options, didn't know where to start",Simpler onboarding,Yes
survey_user_0355,5-20,2,Blank project was intimidating,Simpler onboarding,Maybe
survey_user_0356,5-20,2,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0357,5-20,3,I didn't know what to create,Templates or examples,Yes
survey_user_0358,21-99,4,Wish there were templates or samples,Sample projects or templates,Yes
survey_user_0359,5-20,2,Wasn't sure what kind of tasks to make,Templates or examples,Yes
survey_user_0360,21-99,3,Expected it to work differently,Better help docs,Maybe
survey_user_0361,5-20,4,Unclear what I should create first,Templates or examples,Yes
survey_user_0362,5-20,2,Unclear what I should create first,Templates or examples,Maybe
survey_user_0363,21-99,2,Paralyzed by all the empty fields,Simpler onboarding,No
survey_user_0364,5-20,2,Stared at empty project not knowing what to do,Templates or examples,Yes
survey_user_0365,21-99,3,Examples would have been helpful,Sample projects or templates,Yes
survey_user_0366,21-99,3,Show me a sample project,Sample projects or templates,Maybe
survey_user_0367,5-20,3,Wasn't sure what kind of tasks to make,Templates or examples,No
survey_user_0368,5-20,3,Wish there were templates or samples,Sample projects or templates,No
survey_user_0369,5-20,2,Needed examples to get started,Sample projects or templates,Maybe
